+-------+---------------------------------+------------------------------------+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| pid   | name                            | path                               | cmdline                                                                                                                                                                                                                                                                                                                                                                                                                                                |
| 1688  | pipewire-pulse                  | /usr/bin/pipewire                  | /usr/bin/pipewire-pulse                                                                                                                                                                                                                                                                                                                                                                                                                                |
| 17    | rcu_exp_gp_kthread_worker       |                                    |                                                                                                                                                                                                                                                                                                                                                                                                                                                        |
| 1710  | gdm-x-session                   | /usr/libexec/gdm-x-session         | /usr/libexec/gdm-x-session --run-script /usr/bin/gnome-session                                                                                                                                                                                                                                                                                                                                                                                         |
| 1718  | Xorg                            | /usr/lib/xorg/Xorg                 | /usr/lib/xorg/Xorg vt2 -displayfd 3 -auth /run/user/1000/gdm/Xauthority -nolisten tcp -background none -noreset -keeptty -novtswitch -verbose 3                                                                                                                                                                                                                                                                                                        |
| 1758  | gnome-session-b                 | /usr/libexec/gnome-session-binary  | /usr/libexec/gnome-session-binary                                                                                                                                                                                                                                                                                                                                                                                                                      |
| 17833 | Isolated Web Co                 | /usr/lib/firefox-esr/firefox-esr   | /usr/lib/firefox-esr/firefox-esr -contentproc -isForBrowser -prefsHandle 0:41446 -prefMapHandle 1:272725 -jsInitHandle 2:242716 -parentBuildID 20250922173505 -sandboxReporter 3 -chrootClient 4 -ipcHandle 5 -initialChannelId {c30383df-3b81-4a56-bfa8-db26cae748bd} -parentPid 2698 -crashReporter 6 -crashHelper 7 -greomni /usr/lib/firefox-esr/omni.ja -appomni /usr/lib/firefox-esr/browser/omni.ja -appDir /usr/lib/firefox-esr/browser 36 tab |
| 17941 | file:// Content                 | /usr/lib/firefox-esr/firefox-esr   | /usr/lib/firefox-esr/firefox-esr -contentproc -isForBrowser -prefsHandle 0:45220 -prefMapHandle 1:272725 -jsInitHandle 2:242716 -parentBuildID 20250922173505 -sandboxReporter 3 -chrootClient 4 -ipcHandle 5 -initialChannelId {f56f9007-c3ff-49d6-815f-1c1a24832d79} -parentPid 2698 -crashReporter 6 -crashHelper 7 -greomni /usr/lib/firefox-esr/omni.ja -appomni /usr/lib/firefox-esr/browser/omni.ja -appDir /usr/lib/firefox-esr/browser 37 tab |
| 18    | migration/0                     |                                    |                                                                                                                                                                                                                                                                                                                                                                                                                                                        |
| 1857  | xdg-permission-                 | /usr/libexec/xdg-permission-store  | /usr/libexec/xdg-permission-store                                                                                                                                                                                                                                                                                                                                                                                                                      |
| 18578 | Web Content                     | /usr/lib/firefox-esr/firefox-esr   | /usr/lib/firefox-esr/firefox-esr -contentproc -isForBrowser -prefsHandle 0:41445 -prefMapHandle 1:272725 -jsInitHandle 2:242716 -parentBuildID 20250922173505 -sandboxReporter 3 -chrootClient 4 -ipcHandle 5 -initialChannelId {267c44de-6584-455f-bbd1-4171095e2ae3} -parentPid 2698 -crashReporter 6 -crashHelper 7 -greomni /usr/lib/firefox-esr/omni.ja -appomni /usr/lib/firefox-esr/browser/omni.ja -appDir /usr/lib/firefox-esr/browser 38 tab |
+-------+---------------------------------+------------------------------------+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
